IssuerName,Q3,Q4,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
Pharos Energy Plc,NA,Yes,NA,NA,Yes,NA,NA,NA ,NA,NA
PT Adaro Energy Indonesia Tbk,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Ecopetrol SA,Yes,Yes,Yes,Established Carbon Transition Plan,Yes,NA,Yes,Yes,NA,NA
Enerplus Corporation,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Baytex Energy Corp.,Yes,NA,NA,Plans to Transition to Low Carbon Environment,Yes,NA,NA,NA,NA,Yes
Coal India Ltd.,NA,Yes,Yes,Established Carbon Transition Plan,NA,NA,Yes,NA,NA,Yes
Whitecap Resources Inc.,Yes,NA,NA,Plans to Transition to Low Carbon Environment,Yes,NA,NA,NA,NA,NA
Gazprom Neft PJSC,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
Parex Resources Inc.,Yes,Yes,Yes,Plans to Transition to Low Carbon Environment,NA,NA,Yes,NA,NA,Yes
Crescent Point Energy Corp.,Yes,Yes,NA,Plans to Transition to Low Carbon Environment,Yes,Yes,Yes,Yes,NA,NA
Tethys Oil AB,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
KOSMOS ENERGY LTD.,NA,Yes,NA,Plans to Transition to Low Carbon Environment,Yes,Yes,NA,Yes,NA,NA
CNAOC Limited,Yes,Yes,NA,Plans to Transition to Low Carbon Environment,NA,NA,Yes,Yes,NA,Yes
Frontera Energy Corporation,NA,Yes,NA,Plans to Transition to Low Carbon Environment,NA,Yes,NA,Yes,NA,NA
Tullow Oil Plc,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes
Canadian Natural Resources Limited,NA,Yes,Yes,Established Carbon Transition Plan,Yes,Yes,NA,NA,Yes,NA
Petroleo Brasileiro SA,Yes,Yes,NA,Established Carbon Transition Plan,NA,Yes,Yes,Yes,NA,Yes
Callon Petroleum Company,NA,Yes,NA,Established Carbon Transition Plan,Yes,NA,NA,NA,NA,NA
Tamarack Valley Energy Ltd.,NA,Yes,NA,Plans to Transition to Low Carbon Environment,Yes,NA,NA,NA,NA,NA
NuVista Energy Ltd.,NA,Yes,NA,Plans to Transition to Low Carbon Environment,Yes,NA,NA,NA,NA,NA
Advantage Energy Ltd.,NA,Yes,Yes,Established Carbon Transition Plan,Yes,Yes,NA,NA,Yes,NA
Rosneft Oil Co.,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
Oil & Natural Gas Corp. Ltd.,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
Gran Tierra Energy Inc.,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
CONSOL Energy Inc.,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
Suncor Energy Inc.,Yes,Yes,Yes,Plans to Transition to Low Carbon Environment,Yes,Yes,NA,Yes,Yes,Yes
Capricorn Energy Plc,Yes,Yes,Yes,Established Carbon Transition Plan,Yes,Yes,NA,Yes,Yes,Yes
"Laredo Petroleum, Inc.",Yes,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes
SM Energy Company,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,Yes
Chevron Corporation,Yes,Yes,Yes,Established Carbon Transition Plan,Yes,NA,Yes,Yes,Yes,Yes
California Resources Corporation,Yes,Yes,Yes,Established Carbon Transition Plan,Yes,NA,NA,Yes,Yes,Yes
Vermilion Energy Inc.,Yes,Yes,Yes,Established Carbon Transition Plan,NA,NA,Yes,Yes,NA,Yes
Paladin Energy Ltd,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Washington H. Soul Pattinson and Company Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Drilling Co. of 1972 A/S,NA,Yes,NA,Established Carbon Transition Plan,NA,NA,NA,Yes,NA,NA
ARC Resources Ltd.,NA,Yes,NA,Plans to Transition to Low Carbon Environment,Yes,NA,NA,NA,NA,NA
Cameco Corporation,NA,Yes,Yes,Established Carbon Transition Plan,Yes,NA,NA,Yes,NA,Yes
Devon Energy Corporation,NA,Yes,Yes,NA,NA,Yes,NA,Yes,NA,Yes
Cenovus Energy Inc.,Yes,Yes,Yes,Plans to Transition to Low Carbon Environment,NA,Yes,NA,NA,Yes,Yes
Beach Energy Limited,NA,Yes,Yes,Plans to Transition to Low Carbon Environment,NA,Yes,NA,NA,Yes,Yes
Imperial Oil Limited,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
Banpu Public Co. Ltd.,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,Yes
Occidental Petroleum Corporation,NA,Yes,Yes,Plans to Transition to Low Carbon Environment,NA,NA,NA,Yes,Yes,Yes
Chord Energy Corp.,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
Gazprom PJSC,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
Exxaro Resources Ltd.,NA,Yes,Yes,Established Carbon Transition Plan,Yes,Yes,NA,Yes,NA,Yes
Repsol SA,NA,Yes,Yes,Established Carbon Transition Plan,Yes,NA,Yes,Yes,Yes,Yes
OMV AG,NA,Yes,Yes,Established Carbon Transition Plan,Yes,Yes,Yes,Yes,NA,Yes
TotalEnergies SE,NA,Yes,Yes,Established Carbon Transition Plan,NA,NA,Yes,Yes,Yes,Yes
Energean Plc,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,Yes,NA
Eni SpA,Yes,Yes,Yes,Plans to Transition to Low Carbon Environment,Yes,Yes,Yes,Yes,Yes,Yes
Shell Plc,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error
Woodside Energy Group Ltd.,NA,Yes,Yes,Plans to Transition to Low Carbon Environment,NA,Yes,NA,Yes,NA,Yes
Equinor ASA,NA,Yes,Yes,Established Carbon Transition Plan,Yes,NA,Yes,Yes,Yes,Yes
OMV Petrom SA,Yes,Yes,Yes,Established Carbon Transition Plan,Yes,NA,Yes,Yes,Yes,Yes
MOL Hungarian Oil & Gas Plc,NA,NA,Yes,Plans to Transition to Low Carbon Environment,NA,NA,Yes,Yes,NA,Yes
Galp Energia SGPS SA,Yes,Yes,Yes,Established Carbon Transition Plan,NA,NA,Yes,Yes,NA,NA
EQT Corporation,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error
Harbour Energy Plc,NA,Yes,Yes,Plans to Transition to Low Carbon Environment,Yes,NA,NA,NA,NA,NA
Antero Resources Corporation,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error
PTT Exploration & Production Plc,NA,Yes,Yes,Plans to Transition to Low Carbon Environment,NA,NA,NA,NA,Yes,NA
MEG Energy Corp.,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA
INPEX Corp.,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error
Canacol Energy Ltd.,NA,Yes,NA,Plans to Transition to Low Carbon Environment,NA,NA,NA,Yes,NA,NA
Hess Corporation,Yes,NA,Yes,Established Carbon Transition Plan,Yes,Yes,NA,NA,Yes,Yes
ConocoPhillips,Yes,Yes,Yes,Established Carbon Transition Plan,Yes,Yes,NA,Yes,NA,Yes
"Ovintiv, Inc.",NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA
APA Corp.,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes
BP Plc,Yes,Yes,Yes,Established Carbon Transition Plan,Yes,Yes,Yes,Yes,Yes,Yes
Aker BP ASA,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA
Pioneer Natural Resources Company,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
"PTT Public Co., Ltd.",PDF_Error,PDF_Error,PDF_Error,Plans to Transition to Low Carbon Environment,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error,PDF_Error
Southwestern Energy Company,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes
Tourmaline Oil Corp.,NA_2021,NA_2021,NA_2021,NA_2022,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021
Oil Co. LUKOIL PJSC,NA,Yes,Yes,Plans to Transition to Low Carbon Environment,Yes,NA,Yes,Yes,NA,NA
Exxon Mobil Corporation,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA
Marathon Oil Corporation,NA_2021,NA_2021,NA_2021,NA_2022,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021,NA_2021